,satdate,N,chlmean,pocmean,chlstd,pocstd
0,20240426,7982,0.25397706,76.60264,0.09438633,16.689285
1,20240429,11238,0.29876876,81.69289,0.11923704,21.280693
2,20240502,10071,0.2752505,77.122925,0.089852855,16.160252
3,20240504,6327,0.25628704,72.3572,0.052234817,9.771745
4,20240508,6872,0.25613347,70.04428,0.0394818,7.693035
5,20240513,11066,0.18042274,61.662235,0.04976185,8.858086
6,20240522,5258,0.13718897,50.675785,0.042655166,7.3004594
7,20240524,9075,0.12016973,47.65473,0.03709289,6.8688335
8,20240601,7761,0.121506095,42.22954,0.030648755,6.4279485
9,20240612,5883,0.09809102,39.942486,0.01360227,2.9993377
10,20240615,5262,0.092926666,39.9389,0.008527938,3.6343834
11,20240616,8335,0.070830695,44.480316,0.012155392,3.0657456
12,20240619,6478,0.0706475,42.497066,0.015543874,4.380224
13,20240621,6169,0.07206529,34.594,0.017418118,5.2888126
14,20240622,7472,0.06505333,37.512657,0.014448775,3.8706725
15,20240625,7191,0.07985143,37.48529,0.01829598,3.3162513
16,20240627,11375,0.07008807,37.601765,0.015072282,3.1858528
17,20240630,11475,0.06491436,35.510002,0.013186338,3.1017005
18,20240703,6670,0.054381184,40.299885,0.009012847,3.431242
19,20240705,7569,0.062447503,33.348373,0.011871971,2.696045
20,20240706,12312,0.056049135,33.211273,0.005209502,1.811287
21,20240708,6869,0.056661274,30.350573,0.008204858,2.6435297
22,20240711,8802,0.051346578,34.617878,0.006384615,3.2459366
23,20240717,5166,0.057709504,37.925392,0.011516108,3.9402144
24,20240729,8191,0.090956226,42.43406,0.01836985,4.666248
25,20240808,7216,0.06122229,32.812878,0.010121055,3.6939843
26,20240809,10907,0.051816005,38.10858,0.007059154,3.0814686
27,20240815,6942,0.07540998,41.521454,0.013896148,4.149037
28,20240826,10479,0.0812036,34.766502,0.008404029,3.5326521
29,20240828,6908,0.0693702,35.55422,0.008809054,3.0338182
30,20240901,6138,0.06806674,39.66175,0.016714895,5.353838
31,20240906,8890,0.06828908,36.222645,0.009655997,3.6457326
32,20240911,5142,0.07866043,36.283665,0.010872034,5.125101
33,20240912,6570,0.06155713,42.900208,0.009901718,3.1747305
34,20240920,7156,0.071182795,34.976364,0.011799851,4.599094
35,20241002,8637,0.064548306,36.6723,0.01334037,4.4096622
36,20241007,5858,0.082191125,33.662548,0.016129917,2.979546